Saison	Kalenderwoche	Altersgruppe	SARI	Hospitalisierungsinzidenz
2023/24	2024-W19	00+	COVID-19	0.4
2023/24	2024-W19	00+	Influenza	0.2
2023/24	2024-W19	00+	RSV	0.1
2023/24	2024-W18	0-4	Gesamt	52.5
2023/24	2024-W18	5-14	Gesamt	10.8
2023/24	2024-W18	15-34	Gesamt	3.9
2023/24	2024-W18	35-59	Gesamt	5.8
2023/24	2024-W18	60-79	Gesamt	16.8
2023/24	2024-W18	80+	Gesamt	57.5
2023/24	2024-W18	00+	Gesamt	15.4
2023/24	2024-W18	60-79	COVID-19	0.5
2023/24	2024-W18	80+	COVID-19	2.2
2023/24	2024-W18	00+	COVID-19	0.3
2023/24	2024-W18	00+	Influenza	0.3
2023/24	2024-W18	00+	RSV	0.1
2023/24	2024-W17	0-4	Gesamt	32.5
2023/24	2024-W17	5-14	Gesamt	9.4
2023/24	2024-W17	15-34	Gesamt	4.3
2023/24	2024-W17	35-59	Gesamt	4.6
2023/24	2024-W17	60-79	Gesamt	15.8
2023/24	2024-W17	80+	Gesamt	45.9
2023/24	2024-W17	00+	Gesamt	12.7
2023/24	2024-W17	60-79	COVID-19	0.5
2023/24	2024-W17	80+	COVID-19	0.5
2023/24	2024-W17	00+	COVID-19	0.2
2023/24	2024-W17	00+	Influenza	0.1
2023/24	2024-W17	00+	RSV	0.1
2023/24	2024-W16	0-4	Gesamt	41.3
2023/24	2024-W16	5-14	Gesamt	7.6
2023/24	2024-W16	15-34	Gesamt	3.3
2023/24	2024-W16	35-59	Gesamt	6.6
2023/24	2024-W16	60-79	Gesamt	13.7
2023/24	2024-W16	80+	Gesamt	48.9
2023/24	2024-W16	00+	Gesamt	13.2
2023/24	2024-W16	60-79	COVID-19	0.2
2023/24	2024-W16	80+	COVID-19	1.4
2023/24	2024-W16	00+	COVID-19	0.2
2023/24	2024-W16	00+	Influenza	0.2
2023/24	2024-W16	00+	RSV	0.3
2023/24	2024-W15	0-4	Gesamt	40.4
2023/24	2024-W15	5-14	Gesamt	8.0
2023/24	2024-W15	15-34	Gesamt	4.1
2023/24	2024-W15	35-59	Gesamt	6.1
2023/24	2024-W15	60-79	Gesamt	15.5
2023/24	2024-W15	80+	Gesamt	54.4
2023/24	2024-W15	00+	Gesamt	14.1
2023/24	2024-W15	60-79	COVID-19	0.2
2023/24	2024-W15	80+	COVID-19	0.8
2023/24	2024-W15	00+	COVID-19	0.2
2023/24	2024-W15	00+	Influenza	0.5
2023/24	2024-W15	00+	RSV	0.4
2023/24	2024-W14	0-4	Gesamt	39.9
2023/24	2024-W14	5-14	Gesamt	7.8
2023/24	2024-W14	15-34	Gesamt	5.1
2023/24	2024-W14	35-59	Gesamt	6.3
2023/24	2024-W14	60-79	Gesamt	18.1
2023/24	2024-W14	80+	Gesamt	50.3
2023/24	2024-W14	00+	Gesamt	14.6
2023/24	2024-W14	60-79	COVID-19	0.1
2023/24	2024-W14	80+	COVID-19	0.3
2023/24	2024-W14	00+	COVID-19	0.1
2023/24	2024-W14	00+	Influenza	0.7
2023/24	2024-W14	00+	RSV	0.5
2023/24	2024-W13	0-4	Gesamt	50.1
2023/24	2024-W13	5-14	Gesamt	4.4
2023/24	2024-W13	15-34	Gesamt	4.1
2023/24	2024-W13	35-59	Gesamt	4.7
2023/24	2024-W13	60-79	Gesamt	17.0
2023/24	2024-W13	80+	Gesamt	53.6
2023/24	2024-W13	00+	Gesamt	14.0
2023/24	2024-W13	60-79	COVID-19	0.6
2023/24	2024-W13	80+	COVID-19	1.1
2023/24	2024-W13	00+	COVID-19	0.2
2023/24	2024-W13	00+	Influenza	0.9
2023/24	2024-W13	00+	RSV	0.5
2023/24	2024-W12	0-4	Gesamt	54.8
2023/24	2024-W12	5-14	Gesamt	12.4
2023/24	2024-W12	15-34	Gesamt	3.1
2023/24	2024-W12	35-59	Gesamt	5.3
2023/24	2024-W12	60-79	Gesamt	19.2
2023/24	2024-W12	80+	Gesamt	53.1
2023/24	2024-W12	00+	Gesamt	15.6
2023/24	2024-W12	60-79	COVID-19	0.5
2023/24	2024-W12	80+	COVID-19	1.6
2023/24	2024-W12	00+	COVID-19	0.3
2023/24	2024-W12	00+	Influenza	1.6
2023/24	2024-W12	00+	RSV	0.9
2023/24	2024-W11	0-4	Gesamt	55.7
2023/24	2024-W11	5-14	Gesamt	11.2
2023/24	2024-W11	15-34	Gesamt	4.3
2023/24	2024-W11	35-59	Gesamt	6.7
2023/24	2024-W11	60-79	Gesamt	16.4
2023/24	2024-W11	80+	Gesamt	57.7
2023/24	2024-W11	00+	Gesamt	15.9
2023/24	2024-W11	60-79	COVID-19	0.5
2023/24	2024-W11	80+	COVID-19	1.9
2023/24	2024-W11	00+	COVID-19	0.4
2023/24	2024-W11	00+	Influenza	1.8
2023/24	2024-W11	00+	RSV	1.4
2023/24	2024-W10	0-4	Gesamt	63.6
2023/24	2024-W10	5-14	Gesamt	8.7
2023/24	2024-W10	15-34	Gesamt	4.9
2023/24	2024-W10	35-59	Gesamt	6.7
2023/24	2024-W10	60-79	Gesamt	18.7
2023/24	2024-W10	80+	Gesamt	59.1
2023/24	2024-W10	00+	Gesamt	16.9
2023/24	2024-W10	60-79	COVID-19	1.3
2023/24	2024-W10	80+	COVID-19	3.0
2023/24	2024-W10	00+	COVID-19	0.7
2023/24	2024-W10	00+	Influenza	2.3
2023/24	2024-W10	00+	RSV	1.5
2023/24	2024-W09	0-4	Gesamt	73.3
2023/24	2024-W09	5-14	Gesamt	9.2
2023/24	2024-W09	15-34	Gesamt	3.6
2023/24	2024-W09	35-59	Gesamt	7.2
2023/24	2024-W09	60-79	Gesamt	20.0
2023/24	2024-W09	80+	Gesamt	57.7
2023/24	2024-W09	00+	Gesamt	17.5
2023/24	2024-W09	60-79	COVID-19	1.1
2023/24	2024-W09	80+	COVID-19	2.2
2023/24	2024-W09	00+	COVID-19	0.5
2023/24	2024-W09	00+	Influenza	4.0
2023/24	2024-W09	00+	RSV	1.9
2023/24	2024-W08	0-4	Gesamt	81.7
2023/24	2024-W08	5-14	Gesamt	11.5
2023/24	2024-W08	15-34	Gesamt	4.2
2023/24	2024-W08	35-59	Gesamt	9.5
2023/24	2024-W08	60-79	Gesamt	25.2
2023/24	2024-W08	80+	Gesamt	76.7
2023/24	2024-W08	00+	Gesamt	21.9
2023/24	2024-W08	60-79	COVID-19	0.9
2023/24	2024-W08	80+	COVID-19	2.7
2023/24	2024-W08	00+	COVID-19	0.6
2023/24	2024-W08	00+	Influenza	6.1
2023/24	2024-W08	00+	RSV	2.7
2023/24	2024-W07	0-4	Gesamt	91.9
2023/24	2024-W07	5-14	Gesamt	14.4
2023/24	2024-W07	15-34	Gesamt	6.1
2023/24	2024-W07	35-59	Gesamt	10.3
2023/24	2024-W07	60-79	Gesamt	29.8
2023/24	2024-W07	80+	Gesamt	88.2
2023/24	2024-W07	00+	Gesamt	25.5
2023/24	2024-W07	60-79	COVID-19	0.8
2023/24	2024-W07	80+	COVID-19	4.7
2023/24	2024-W07	00+	COVID-19	0.7
2023/24	2024-W07	00+	Influenza	9.5
2023/24	2024-W07	00+	RSV	3.2
2023/24	2024-W06	0-4	Gesamt	132.8
2023/24	2024-W06	5-14	Gesamt	15.6
2023/24	2024-W06	15-34	Gesamt	6.9
2023/24	2024-W06	35-59	Gesamt	11.8
2023/24	2024-W06	60-79	Gesamt	35.5
2023/24	2024-W06	80+	Gesamt	107.2
2023/24	2024-W06	00+	Gesamt	31.3
2023/24	2024-W06	60-79	COVID-19	1.8
2023/24	2024-W06	80+	COVID-19	8.8
2023/24	2024-W06	00+	COVID-19	1.5
2023/24	2024-W06	00+	Influenza	14.1
2023/24	2024-W06	00+	RSV	3.4
2023/24	2024-W05	0-4	Gesamt	118.8
2023/24	2024-W05	5-14	Gesamt	19.2
2023/24	2024-W05	15-34	Gesamt	7.6
2023/24	2024-W05	35-59	Gesamt	13.1
2023/24	2024-W05	60-79	Gesamt	36.5
2023/24	2024-W05	80+	Gesamt	96.8
2023/24	2024-W05	00+	Gesamt	30.9
2023/24	2024-W05	60-79	COVID-19	2.0
2023/24	2024-W05	80+	COVID-19	9.6
2023/24	2024-W05	00+	COVID-19	1.6
2023/24	2024-W05	00+	Influenza	13.2
2023/24	2024-W05	00+	RSV	3.5
2023/24	2024-W04	0-4	Gesamt	134.2
2023/24	2024-W04	5-14	Gesamt	20.4
2023/24	2024-W04	15-34	Gesamt	7.1
2023/24	2024-W04	35-59	Gesamt	13.1
2023/24	2024-W04	60-79	Gesamt	31.5
2023/24	2024-W04	80+	Gesamt	94.6
2023/24	2024-W04	00+	Gesamt	30.3
2023/24	2024-W04	60-79	COVID-19	2.5
2023/24	2024-W04	80+	COVID-19	9.3
2023/24	2024-W04	00+	COVID-19	1.8
2023/24	2024-W04	00+	Influenza	11.1
2023/24	2024-W04	00+	RSV	4.6
2023/24	2024-W03	0-4	Gesamt	110.9
2023/24	2024-W03	5-14	Gesamt	16.7
2023/24	2024-W03	15-34	Gesamt	7.0
2023/24	2024-W03	35-59	Gesamt	7.6
2023/24	2024-W03	60-79	Gesamt	25.7
2023/24	2024-W03	80+	Gesamt	65.4
2023/24	2024-W03	00+	Gesamt	23.0
2023/24	2024-W03	60-79	COVID-19	3.0
2023/24	2024-W03	80+	COVID-19	10.2
2023/24	2024-W03	00+	COVID-19	2.0
2023/24	2024-W03	00+	Influenza	5.7
2023/24	2024-W03	00+	RSV	3.6
2023/24	2024-W02	0-4	Gesamt	78.4
2023/24	2024-W02	5-14	Gesamt	10.5
2023/24	2024-W02	15-34	Gesamt	4.7
2023/24	2024-W02	35-59	Gesamt	7.3
2023/24	2024-W02	60-79	Gesamt	20.1
2023/24	2024-W02	80+	Gesamt	70.6
2023/24	2024-W02	00+	Gesamt	19.3
2023/24	2024-W02	60-79	COVID-19	3.8
2023/24	2024-W02	80+	COVID-19	15.4
2023/24	2024-W02	00+	COVID-19	2.5
2023/24	2024-W02	00+	Influenza	3.6
2023/24	2024-W02	00+	RSV	2.4
2023/24	2024-W01	0-4	Gesamt	99.3
2023/24	2024-W01	5-14	Gesamt	10.5
2023/24	2024-W01	15-34	Gesamt	4.7
2023/24	2024-W01	35-59	Gesamt	8.6
2023/24	2024-W01	60-79	Gesamt	25.5
2023/24	2024-W01	80+	Gesamt	91.8
2023/24	2024-W01	00+	Gesamt	23.9
2023/24	2024-W01	60-79	COVID-19	5.4
2023/24	2024-W01	80+	COVID-19	21.7
2023/24	2024-W01	00+	COVID-19	4.0
2023/24	2024-W01	00+	Influenza	3.3
2023/24	2024-W01	00+	RSV	4.4
2023/24	2023-W52	0-4	Gesamt	130.0
2023/24	2023-W52	5-14	Gesamt	8.5
2023/24	2023-W52	15-34	Gesamt	3.5
2023/24	2023-W52	35-59	Gesamt	8.3
2023/24	2023-W52	60-79	Gesamt	27.7
2023/24	2023-W52	80+	Gesamt	101.2
2023/24	2023-W52	00+	Gesamt	26.2
2023/24	2023-W52	60-79	COVID-19	8.4
2023/24	2023-W52	80+	COVID-19	38.2
2023/24	2023-W52	00+	COVID-19	6.0
2023/24	2023-W52	00+	Influenza	3.3
2023/24	2023-W52	00+	RSV	5.3
2023/24	2023-W51	0-4	Gesamt	127.7
2023/24	2023-W51	5-14	Gesamt	12.1
2023/24	2023-W51	15-34	Gesamt	2.4
2023/24	2023-W51	35-59	Gesamt	6.3
2023/24	2023-W51	60-79	Gesamt	28.1
2023/24	2023-W51	80+	Gesamt	93.5
2023/24	2023-W51	00+	Gesamt	25.1
2023/24	2023-W51	60-79	COVID-19	10.7
2023/24	2023-W51	80+	COVID-19	47.3
2023/24	2023-W51	00+	COVID-19	7.7
2023/24	2023-W51	00+	Influenza	2.3
2023/24	2023-W51	00+	RSV	4.8
2023/24	2023-W50	0-4	Gesamt	117.0
2023/24	2023-W50	5-14	Gesamt	9.4
2023/24	2023-W50	15-34	Gesamt	3.5
2023/24	2023-W50	35-59	Gesamt	8.0
2023/24	2023-W50	60-79	Gesamt	27.0
2023/24	2023-W50	80+	Gesamt	98.4
2023/24	2023-W50	00+	Gesamt	25.2
2023/24	2023-W50	60-79	COVID-19	11.3
2023/24	2023-W50	80+	COVID-19	58.3
2023/24	2023-W50	00+	COVID-19	8.9
2023/24	2023-W50	00+	Influenza	1.7
2023/24	2023-W50	00+	RSV	4.4
2023/24	2023-W49	0-4	Gesamt	88.7
2023/24	2023-W49	5-14	Gesamt	9.4
2023/24	2023-W49	15-34	Gesamt	4.2
2023/24	2023-W49	35-59	Gesamt	6.4
2023/24	2023-W49	60-79	Gesamt	22.5
2023/24	2023-W49	80+	Gesamt	91.5
2023/24	2023-W49	00+	Gesamt	21.6
2023/24	2023-W49	60-79	COVID-19	10.6
2023/24	2023-W49	80+	COVID-19	51.1
2023/24	2023-W49	00+	COVID-19	7.8
2023/24	2023-W49	00+	Influenza	0.8
2023/24	2023-W49	00+	RSV	3.3
2023/24	2023-W48	0-4	Gesamt	83.1
2023/24	2023-W48	5-14	Gesamt	8.2
2023/24	2023-W48	15-34	Gesamt	4.3
2023/24	2023-W48	35-59	Gesamt	5.6
2023/24	2023-W48	60-79	Gesamt	20.2
2023/24	2023-W48	80+	Gesamt	79.4
2023/24	2023-W48	00+	Gesamt	19.4
2023/24	2023-W48	60-79	COVID-19	8.2
2023/24	2023-W48	80+	COVID-19	41.8
2023/24	2023-W48	00+	COVID-19	6.2
2023/24	2023-W48	00+	Influenza	0.4
2023/24	2023-W48	00+	RSV	2.9
2023/24	2023-W47	0-4	Gesamt	55.7
2023/24	2023-W47	5-14	Gesamt	9.2
2023/24	2023-W47	15-34	Gesamt	3.0
2023/24	2023-W47	35-59	Gesamt	5.6
2023/24	2023-W47	60-79	Gesamt	21.5
2023/24	2023-W47	80+	Gesamt	78.9
2023/24	2023-W47	00+	Gesamt	18.2
2023/24	2023-W47	60-79	COVID-19	9.6
2023/24	2023-W47	80+	COVID-19	44.8
2023/24	2023-W47	00+	COVID-19	7.0
2023/24	2023-W47	00+	Influenza	0.2
2023/24	2023-W47	00+	RSV	1.9
2023/24	2023-W46	0-4	Gesamt	54.3
2023/24	2023-W46	5-14	Gesamt	8.9
2023/24	2023-W46	15-34	Gesamt	3.5
2023/24	2023-W46	35-59	Gesamt	6.0
2023/24	2023-W46	60-79	Gesamt	19.4
2023/24	2023-W46	80+	Gesamt	75.9
2023/24	2023-W46	00+	Gesamt	17.5
2023/24	2023-W46	60-79	COVID-19	8.3
2023/24	2023-W46	80+	COVID-19	38.8
2023/24	2023-W46	00+	COVID-19	6.1
2023/24	2023-W46	00+	Influenza	0.2
2023/24	2023-W46	00+	RSV	1.3
2023/24	2023-W45	0-4	Gesamt	36.2
2023/24	2023-W45	5-14	Gesamt	7.3
2023/24	2023-W45	15-34	Gesamt	2.4
2023/24	2023-W45	35-59	Gesamt	4.4
2023/24	2023-W45	60-79	Gesamt	19.0
2023/24	2023-W45	80+	Gesamt	78.6
2023/24	2023-W45	00+	Gesamt	15.8
2023/24	2023-W45	60-79	COVID-19	7.6
2023/24	2023-W45	80+	COVID-19	41.0
2023/24	2023-W45	00+	COVID-19	5.9
2023/24	2023-W45	00+	Influenza	0.1
2023/24	2023-W45	00+	RSV	0.7
2023/24	2023-W44	0-4	Gesamt	38.1
2023/24	2023-W44	5-14	Gesamt	12.4
2023/24	2023-W44	15-34	Gesamt	3.1
2023/24	2023-W44	35-59	Gesamt	5.5
2023/24	2023-W44	60-79	Gesamt	21.3
2023/24	2023-W44	80+	Gesamt	72.3
2023/24	2023-W44	00+	Gesamt	17.0
2023/24	2023-W44	60-79	COVID-19	9.2
2023/24	2023-W44	80+	COVID-19	39.3
2023/24	2023-W44	00+	COVID-19	6.5
2023/24	2023-W44	00+	Influenza	0.1
2023/24	2023-W44	00+	RSV	0.5
2023/24	2023-W43	0-4	Gesamt	38.1
2023/24	2023-W43	5-14	Gesamt	9.4
2023/24	2023-W43	15-34	Gesamt	3.3
2023/24	2023-W43	35-59	Gesamt	4.2
2023/24	2023-W43	60-79	Gesamt	17.5
2023/24	2023-W43	80+	Gesamt	69.0
2023/24	2023-W43	00+	Gesamt	15.0
2023/24	2023-W43	60-79	COVID-19	7.6
2023/24	2023-W43	80+	COVID-19	33.8
2023/24	2023-W43	00+	COVID-19	5.3
2023/24	2023-W43	00+	Influenza	0.1
2023/24	2023-W43	00+	RSV	0.1
2023/24	2023-W42	0-4	Gesamt	32.5
2023/24	2023-W42	5-14	Gesamt	8.2
2023/24	2023-W42	15-34	Gesamt	2.8
2023/24	2023-W42	35-59	Gesamt	5.4
2023/24	2023-W42	60-79	Gesamt	18.2
2023/24	2023-W42	80+	Gesamt	70.1
2023/24	2023-W42	00+	Gesamt	15.2
2023/24	2023-W42	60-79	COVID-19	6.3
2023/24	2023-W42	80+	COVID-19	31.6
2023/24	2023-W42	00+	COVID-19	4.7
2023/24	2023-W42	00+	Influenza	0.0
2023/24	2023-W42	00+	RSV	0.1
2023/24	2023-W41	0-4	Gesamt	31.1
2023/24	2023-W41	5-14	Gesamt	5.3
2023/24	2023-W41	15-34	Gesamt	2.0
2023/24	2023-W41	35-59	Gesamt	4.1
2023/24	2023-W41	60-79	Gesamt	17.0
2023/24	2023-W41	80+	Gesamt	61.3
2023/24	2023-W41	00+	Gesamt	13.2
2023/24	2023-W41	60-79	COVID-19	4.3
2023/24	2023-W41	80+	COVID-19	26.9
2023/24	2023-W41	00+	COVID-19	3.7
2023/24	2023-W41	00+	Influenza	0.0
2023/24	2023-W41	00+	RSV	0.2
2023/24	2023-W40	0-4	Gesamt	27.4
2023/24	2023-W40	5-14	Gesamt	5.3
2023/24	2023-W40	15-34	Gesamt	2.4
2023/24	2023-W40	35-59	Gesamt	3.8
2023/24	2023-W40	60-79	Gesamt	12.3
2023/24	2023-W40	80+	Gesamt	55.0
2023/24	2023-W40	00+	Gesamt	11.3
2023/24	2023-W40	60-79	COVID-19	3.0
2023/24	2023-W40	80+	COVID-19	21.2
2023/24	2023-W40	00+	COVID-19	2.9
2023/24	2023-W40	00+	Influenza	0.0
2023/24	2023-W40	00+	RSV	0.1
2022/23	2023-W39	0-4	Gesamt	34.4
2022/23	2023-W39	5-14	Gesamt	5.5
2022/23	2023-W39	15-34	Gesamt	1.7
2022/23	2023-W39	35-59	Gesamt	3.1
2022/23	2023-W39	60-79	Gesamt	13.3
2022/23	2023-W39	80+	Gesamt	49.2
2022/23	2023-W39	00+	Gesamt	11.1
2022/23	2023-W39	60-79	COVID-19	3.1
2022/23	2023-W39	80+	COVID-19	16.5
2022/23	2023-W39	00+	COVID-19	2.5
2022/23	2023-W39	00+	Influenza	0.0
2022/23	2023-W39	00+	RSV	0.0
2022/23	2023-W38	0-4	Gesamt	28.3
2022/23	2023-W38	5-14	Gesamt	6.0
2022/23	2023-W38	15-34	Gesamt	3.3
2022/23	2023-W38	35-59	Gesamt	2.9
2022/23	2023-W38	60-79	Gesamt	13.3
2022/23	2023-W38	80+	Gesamt	39.6
2022/23	2023-W38	00+	Gesamt	10.3
2022/23	2023-W38	60-79	COVID-19	2.6
2022/23	2023-W38	80+	COVID-19	11.8
2022/23	2023-W38	00+	COVID-19	1.9
2022/23	2023-W38	00+	Influenza	0.0
2022/23	2023-W38	00+	RSV	0.0
2022/23	2023-W37	0-4	Gesamt	33.0
2022/23	2023-W37	5-14	Gesamt	5.7
2022/23	2023-W37	15-34	Gesamt	1.9
2022/23	2023-W37	35-59	Gesamt	3.9
2022/23	2023-W37	60-79	Gesamt	12.3
2022/23	2023-W37	80+	Gesamt	41.5
2022/23	2023-W37	00+	Gesamt	10.5
2022/23	2023-W37	60-79	COVID-19	2.0
2022/23	2023-W37	80+	COVID-19	11.5
2022/23	2023-W37	00+	COVID-19	1.7
2022/23	2023-W37	00+	Influenza	0.0
2022/23	2023-W37	00+	RSV	0.0
2022/23	2023-W36	0-4	Gesamt	45.5
2022/23	2023-W36	5-14	Gesamt	8.2
2022/23	2023-W36	15-34	Gesamt	1.1
2022/23	2023-W36	35-59	Gesamt	3.4
2022/23	2023-W36	60-79	Gesamt	11.2
2022/23	2023-W36	80+	Gesamt	45.9
2022/23	2023-W36	00+	Gesamt	11.1
2022/23	2023-W36	60-79	COVID-19	2.2
2022/23	2023-W36	80+	COVID-19	11.0
2022/23	2023-W36	00+	COVID-19	1.7
2022/23	2023-W36	00+	Influenza	0.0
2022/23	2023-W36	00+	RSV	0.0
2022/23	2023-W35	0-4	Gesamt	18.6
2022/23	2023-W35	5-14	Gesamt	6.0
2022/23	2023-W35	15-34	Gesamt	2.0
2022/23	2023-W35	35-59	Gesamt	3.1
2022/23	2023-W35	60-79	Gesamt	10.8
2022/23	2023-W35	80+	Gesamt	37.9
2022/23	2023-W35	00+	Gesamt	8.8
2022/23	2023-W35	60-79	COVID-19	1.7
2022/23	2023-W35	80+	COVID-19	6.3
2022/23	2023-W35	00+	COVID-19	1.1
2022/23	2023-W35	00+	Influenza	0.0
2022/23	2023-W35	00+	RSV	0.1
2022/23	2023-W34	0-4	Gesamt	24.6
2022/23	2023-W34	5-14	Gesamt	3.4
2022/23	2023-W34	15-34	Gesamt	2.0
2022/23	2023-W34	35-59	Gesamt	2.7
2022/23	2023-W34	60-79	Gesamt	10.3
2022/23	2023-W34	80+	Gesamt	35.7
2022/23	2023-W34	00+	Gesamt	8.4
2022/23	2023-W34	60-79	COVID-19	1.4
2022/23	2023-W34	80+	COVID-19	4.1
2022/23	2023-W34	00+	COVID-19	0.8
2022/23	2023-W34	00+	Influenza	0.0
2022/23	2023-W34	00+	RSV	0.0
2022/23	2023-W33	0-4	Gesamt	21.4
2022/23	2023-W33	5-14	Gesamt	4.4
2022/23	2023-W33	15-34	Gesamt	1.2
2022/23	2023-W33	35-59	Gesamt	2.8
2022/23	2023-W33	60-79	Gesamt	11.9
2022/23	2023-W33	80+	Gesamt	45.4
2022/23	2023-W33	00+	Gesamt	9.5
2022/23	2023-W33	60-79	COVID-19	1.6
2022/23	2023-W33	80+	COVID-19	7.1
2022/23	2023-W33	00+	COVID-19	1.1
2022/23	2023-W33	00+	Influenza	0.0
2022/23	2023-W33	00+	RSV	0.0
2022/23	2023-W32	0-4	Gesamt	19.0
2022/23	2023-W32	5-14	Gesamt	3.9
2022/23	2023-W32	15-34	Gesamt	1.7
2022/23	2023-W32	35-59	Gesamt	2.9
2022/23	2023-W32	60-79	Gesamt	8.8
2022/23	2023-W32	80+	Gesamt	30.0
2022/23	2023-W32	00+	Gesamt	7.3
2022/23	2023-W32	60-79	COVID-19	0.7
2022/23	2023-W32	80+	COVID-19	3.3
2022/23	2023-W32	00+	COVID-19	0.5
2022/23	2023-W32	00+	Influenza	0.0
2022/23	2023-W32	00+	RSV	0.0
2022/23	2023-W31	0-4	Gesamt	12.5
2022/23	2023-W31	5-14	Gesamt	1.6
2022/23	2023-W31	15-34	Gesamt	1.0
2022/23	2023-W31	35-59	Gesamt	2.3
2022/23	2023-W31	60-79	Gesamt	9.0
2022/23	2023-W31	80+	Gesamt	22.8
2022/23	2023-W31	00+	Gesamt	5.9
2022/23	2023-W31	60-79	COVID-19	0.5
2022/23	2023-W31	80+	COVID-19	2.7
2022/23	2023-W31	00+	COVID-19	0.5
2022/23	2023-W31	00+	Influenza	0.0
2022/23	2023-W31	00+	RSV	0.0
2022/23	2023-W30	0-4	Gesamt	17.2
2022/23	2023-W30	5-14	Gesamt	1.8
2022/23	2023-W30	15-34	Gesamt	1.2
2022/23	2023-W30	35-59	Gesamt	1.5
2022/23	2023-W30	60-79	Gesamt	9.5
2022/23	2023-W30	80+	Gesamt	28.9
2022/23	2023-W30	00+	Gesamt	6.6
2022/23	2023-W30	60-79	COVID-19	0.6
2022/23	2023-W30	80+	COVID-19	1.9
2022/23	2023-W30	00+	COVID-19	0.4
2022/23	2023-W30	00+	Influenza	0.0
2022/23	2023-W30	00+	RSV	0.0
2022/23	2023-W29	0-4	Gesamt	18.6
2022/23	2023-W29	5-14	Gesamt	1.6
2022/23	2023-W29	15-34	Gesamt	0.5
2022/23	2023-W29	35-59	Gesamt	2.1
2022/23	2023-W29	60-79	Gesamt	11.0
2022/23	2023-W29	80+	Gesamt	28.6
2022/23	2023-W29	00+	Gesamt	7.0
2022/23	2023-W29	60-79	COVID-19	0.7
2022/23	2023-W29	80+	COVID-19	1.4
2022/23	2023-W29	00+	COVID-19	0.3
2022/23	2023-W29	00+	Influenza	0.1
2022/23	2023-W29	00+	RSV	0.0
2022/23	2023-W28	0-4	Gesamt	18.6
2022/23	2023-W28	5-14	Gesamt	3.0
2022/23	2023-W28	15-34	Gesamt	0.7
2022/23	2023-W28	35-59	Gesamt	3.9
2022/23	2023-W28	60-79	Gesamt	9.3
2022/23	2023-W28	80+	Gesamt	32.2
2022/23	2023-W28	00+	Gesamt	7.7
2022/23	2023-W28	60-79	COVID-19	0.5
2022/23	2023-W28	80+	COVID-19	1.9
2022/23	2023-W28	00+	COVID-19	0.4
2022/23	2023-W28	00+	Influenza	0.0
2022/23	2023-W28	00+	RSV	0.0
2022/23	2023-W27	0-4	Gesamt	20.0
2022/23	2023-W27	5-14	Gesamt	2.1
2022/23	2023-W27	15-34	Gesamt	0.6
2022/23	2023-W27	35-59	Gesamt	2.6
2022/23	2023-W27	60-79	Gesamt	11.3
2022/23	2023-W27	80+	Gesamt	33.3
2022/23	2023-W27	00+	Gesamt	7.8
2022/23	2023-W27	60-79	COVID-19	0.3
2022/23	2023-W27	80+	COVID-19	0.3
2022/23	2023-W27	00+	COVID-19	0.1
2022/23	2023-W27	00+	Influenza	0.0
2022/23	2023-W27	00+	RSV	0.0
2022/23	2023-W26	0-4	Gesamt	18.6
2022/23	2023-W26	5-14	Gesamt	3.2
2022/23	2023-W26	15-34	Gesamt	0.6
2022/23	2023-W26	35-59	Gesamt	2.8
2022/23	2023-W26	60-79	Gesamt	10.5
2022/23	2023-W26	80+	Gesamt	26.7
2022/23	2023-W26	00+	Gesamt	7.1
2022/23	2023-W26	60-79	COVID-19	0.5
2022/23	2023-W26	80+	COVID-19	1.1
2022/23	2023-W26	00+	COVID-19	0.2
2022/23	2023-W26	00+	Influenza	0.0
2022/23	2023-W26	00+	RSV	0.0
2022/23	2023-W25	0-4	Gesamt	17.6
2022/23	2023-W25	5-14	Gesamt	2.5
2022/23	2023-W25	15-34	Gesamt	1.6
2022/23	2023-W25	35-59	Gesamt	3.0
2022/23	2023-W25	60-79	Gesamt	11.1
2022/23	2023-W25	80+	Gesamt	33.3
2022/23	2023-W25	00+	Gesamt	8.0
2022/23	2023-W25	60-79	COVID-19	0.5
2022/23	2023-W25	80+	COVID-19	0.8
2022/23	2023-W25	00+	COVID-19	0.2
2022/23	2023-W25	00+	Influenza	0.0
2022/23	2023-W25	00+	RSV	0.0
2022/23	2023-W24	0-4	Gesamt	17.6
2022/23	2023-W24	5-14	Gesamt	3.0
2022/23	2023-W24	15-34	Gesamt	0.6
2022/23	2023-W24	35-59	Gesamt	3.1
2022/23	2023-W24	60-79	Gesamt	12.9
2022/23	2023-W24	80+	Gesamt	37.9
2022/23	2023-W24	00+	Gesamt	8.7
2022/23	2023-W24	60-79	COVID-19	0.9
2022/23	2023-W24	80+	COVID-19	2.2
2022/23	2023-W24	00+	COVID-19	0.4
2022/23	2023-W24	00+	Influenza	0.1
2022/23	2023-W24	00+	RSV	0.0
2022/23	2023-W23	0-4	Gesamt	18.6
2022/23	2023-W23	5-14	Gesamt	5.7
2022/23	2023-W23	15-34	Gesamt	1.2
2022/23	2023-W23	35-59	Gesamt	3.1
2022/23	2023-W23	60-79	Gesamt	12.8
2022/23	2023-W23	80+	Gesamt	40.1
2022/23	2023-W23	00+	Gesamt	9.4
2022/23	2023-W23	60-79	COVID-19	1.5
